Symbol,RankScore15Tier,BullMultiTFScore,BearMultiTFScore,DominantTrend,TrendStrength,PositionSizeMultiplier,EntryConfidence,LTP,ExitSignalsCount,ExitReason,ShouldExit,PullbackPct,PullbackStage,IsAfternoonSweetSpot,DTEHours,ThetaDecayStage,ThetaRisk,OptionStrike,OptionDelta,OptionTheta,CanTradeToday
NSE:ABB-EQ,10.875,0.86,0.135,BULLISH,0.725,0.6,0.725,5894.5,0,NONE,False,0.11015082189459414,NO_PULLBACK,False,21.01557566583333,SLOW,LOW,6394.5,0.49741550294151926,-1.2645270286455674,True
NSE:ALKEM-EQ,-10.575,0.15000000000000002,0.855,BEARISH,0.705,0.6,0.705,5475.0,2,SUPERTREND_EXIT + ADX_WEAK,True,0.31861629494765586,NO_PULLBACK,False,21.01163541777778,SLOW,LOW,5975.0,-0.5127954170784605,-0.23532582812363068,True
NSE:ADANIGREEN-EQ,7.875,0.77,0.24500000000000002,BULLISH,0.525,0.2,0.525,991.8,2,SUPERTREND_EXIT + MACD_NEGATIVE,True,0.7207207207207252,NO_PULLBACK,False,21.013350175833335,SLOW,LOW,1091.8,0.47245060679204987,-0.20933634470342707,True
NSE:ADANIPOWER-EQ,-5.999999999999999,0.3425,0.7424999999999999,BEARISH,0.39999999999999997,0.0,0.39999999999999997,142.5,1,SUPERTREND_EXIT,False,0.6276150627615102,NO_PULLBACK,False,21.01218224,SLOW,LOW,142.5,-0.366354098269314,-0.009467681680976291,True
NSE:ADANIPORTS-EQ,5.475000000000002,0.7025000000000001,0.33749999999999997,BULLISH,0.36500000000000016,0.0,0.36500000000000016,1537.2,1,MACD_NEGATIVE,False,0.5370430281462281,NO_PULLBACK,False,21.0128008375,SLOW,LOW,1637.2,0.5287414772179413,-0.3351328874641466,True
NSE:360ONE-EQ,-4.349999999999999,0.37,0.6599999999999999,BEARISH,0.2899999999999999,0.0,0.2899999999999999,1125.0,2,MACD_POSITIVE + ADX_WEAK,True,0.1951738821859515,NO_PULLBACK,False,21.01627835111111,SLOW,LOW,1225.0,-0.508955705271494,-0.04934678817595586,True
NSE:ADANIENSOL-EQ,3.6750000000000007,0.6625,0.4175,BULLISH,0.24500000000000005,0.0,0.24500000000000005,1001.5,2,SUPERTREND_EXIT + MACD_NEGATIVE,True,0.5955334987593052,NO_PULLBACK,False,21.013902764444445,SLOW,LOW,1101.5,0.47396466382719,-0.21160982462844452,True
NSE:ADANIENT-EQ,2.4000000000000004,0.615,0.45499999999999996,BULLISH,0.16000000000000003,0.0,0.16000000000000003,2181.3,1,MACD_NEGATIVE,False,0.43817609201697516,NO_PULLBACK,False,21.014465483611108,SLOW,LOW,2381.3,0.48665500107879195,-0.4648602010246946,True
NSE:ABCAPITAL-EQ,0.6000000000000005,0.525,0.485,BULLISH,0.040000000000000036,0.0,0.040000000000000036,345.35,2,SUPERTREND_EXIT + ADX_WEAK,True,0.1301330248698637,NO_PULLBACK,False,21.015017,SLOW,LOW,,,,True
