Symbol,RankScore15Tier,BullMultiTFScore,BearMultiTFScore,DominantTrend,TrendStrength,PositionSizeMultiplier,EntryConfidence,LTP,ExitSignalsCount,ExitReason,ShouldExit,PullbackPct,PullbackStage,IsAfternoonSweetSpot,DTEHours,ThetaDecayStage,ThetaRisk,OptionStrike,OptionDelta,OptionTheta,CanTradeToday
NSE:ABB-EQ,10.875,0.86,0.135,BULLISH,0.725,0.6,0.725,5894.5,0,NONE,False,0.11015082189459414,NO_PULLBACK,False,21.041110317777775,SLOW,LOW,6394.5,0.49758252835574907,-1.2640880657747664,True
NSE:ALKEM-EQ,-10.575,0.15000000000000002,0.855,BEARISH,0.705,0.6,0.705,5475.0,2,SUPERTREND_EXIT + ADX_WEAK,True,0.31861629494765586,NO_PULLBACK,False,21.037241961944442,SLOW,LOW,5975.0,-0.5126217731685895,-0.23499169493927624,True
NSE:ADANIGREEN-EQ,7.875,0.77,0.24500000000000002,BULLISH,0.525,0.2,0.525,991.8,2,SUPERTREND_EXIT + MACD_NEGATIVE,True,0.7207207207207252,NO_PULLBACK,False,21.038927153611112,SLOW,LOW,1091.8,0.4726326814494025,-0.2092693543083036,True
NSE:ADANIPOWER-EQ,-5.999999999999999,0.3425,0.7424999999999999,BEARISH,0.39999999999999997,0.0,0.39999999999999997,142.5,1,SUPERTREND_EXIT,False,0.6276150627615102,NO_PULLBACK,False,21.037816850833334,SLOW,LOW,142.5,-0.3662757223457612,-0.009455553360022042,True
NSE:ADANIPORTS-EQ,5.475000000000002,0.7025000000000001,0.33749999999999997,BULLISH,0.36500000000000016,0.0,0.36500000000000016,1537.2,1,MACD_NEGATIVE,False,0.5370430281462281,NO_PULLBACK,False,21.038377639722224,SLOW,LOW,1637.2,0.5288893429005919,-0.33500669423960777,True
NSE:360ONE-EQ,-4.349999999999999,0.37,0.6599999999999999,BEARISH,0.2899999999999999,0.0,0.2899999999999999,1125.0,2,MACD_POSITIVE + ADX_WEAK,True,0.1951738821859515,NO_PULLBACK,False,21.0416687225,SLOW,LOW,1225.0,-0.5087858190362629,-0.0492775265587606,True
NSE:ADANIENSOL-EQ,3.6750000000000007,0.6625,0.4175,BULLISH,0.24500000000000005,0.0,0.24500000000000005,1001.5,2,SUPERTREND_EXIT + MACD_NEGATIVE,True,0.5955334987593052,NO_PULLBACK,False,21.039474780555555,SLOW,LOW,1101.5,0.47414582642324565,-0.21154173967084158,True
NSE:ADANIENT-EQ,2.4000000000000004,0.615,0.45499999999999996,BULLISH,0.16000000000000003,0.0,0.16000000000000003,2181.3,1,MACD_NEGATIVE,False,0.43817609201697516,NO_PULLBACK,False,21.040007549722223,SLOW,LOW,2381.3,0.4868285217620567,-0.4647040761865017,True
NSE:ABCAPITAL-EQ,0.6000000000000005,0.525,0.485,BULLISH,0.040000000000000036,0.0,0.040000000000000036,345.35,2,SUPERTREND_EXIT + ADX_WEAK,True,0.1301330248698637,NO_PULLBACK,False,21.040558475555553,SLOW,LOW,,,,True
